LakeID,OfficialName,Town,LakeRegion,LakeArea,BasinArea,Elevation,MaxDepth,MeanDepth,OutletType,locationName,locationType,centerLatitude,centerLongitude
BARBER,Barber Lake (Lake Potter),Pownal,Green Mtn South,19,170,1103,20,,NATURAL with ARTIFICIAL CONTROL,Barber Pond Pownal,Lake (Artificial Control),42.8,-73.2
BARBOS,Barbos Lake,Sandgate,Green Mtn South,7,48,1844,,,,Barbos Lake Sandgate,Lake,43.15,-73.15
BARKMILL,Unnamed pond referred to by DEC as Barkmill,Weathersfield,East Central,,,800,,,,Barkmill Pond Weathersfield,Pond,43.35,-72.43
BEAN,Unnamed Pond referred to by DEC as Bean,Eden,North Central,,,1250,,,,Bean Pond Eden,Pond,44.68,-72.57
BEAN (LYNDON),Bean Pond,Lyndon,NE Kingdom,24,223,1187,15,,NATURAL,Bean Pond Lyndon,Pond,44.5486657,-72.0714867
BEAN (SUTTON),Bean Pond,Sutton,NE Kingdom,30,1208,1178,,,NATURAL,Bean Pond Sutton,Pond,44.6983842,-72.0862101
BEAR,Bear Pond,Cambridge,Champlain ,1,2,3530,,,,Bear Pond Cambridge,Pond,44.5550515,-72.8045682
BEAR MOUNTAIN,Unnamed Pond referred to by DEC as Bear Mountain,Walden,North Central,,,2155,,,,Bear Mountain Pond Walden,Pond,44.48,-72.18
BEAVER (HARTLD),Beaver Pond,Hartland,East Central,2,157,1170,,,,Beaver Pond Hartland,Pond,43.5736814,-72.463148
BEAVER (HOLLND),Beaver Pond,Holland,NE Kingdom,40,721,1535,80,30,NATURAL,Beaver Pond Holland,Pond,45.0047684,-71.9398184
BEAVER (HYDEPK),Unnamed Pond referred to by DEC as Beaver,Hyde Park,North Central,16,683,1090,,,,Beaver Pond Hyde Park,Pond,44.6,-72.53
BEAVER (MENDON),Beaver Pond,Mendon,West Central,6,349,1850,,,,Beaver Pond Mendon,Pond,43.6686787,-72.8539931
BEAVER (PROCTR),Beaver Pond,Proctor,West Central,9,287,552,,,,Beaver Pond Proctor,Pond,43.67,-73.05
BEAVER (ROXBRY),Beaver Pond,Roxbury,East Central,10,40,1710,,,,Beaver Pond Roxbury,Pond,44.0614517,-72.7203872
BEAVER (WEAFLD),Unnamed Pond referred to by DEC as Beaver,Weathersfield,East Central,49,480,960,,,,Beaver Pond Weathersfield,Pond,43.4,-72.47
BEAVER MEADOW,Unnamed Pond referred to by DEC as Beaver Meadow,Baltimore,East Central,5,178,930,,,,Beaver Meadow Pond Baltimore,Pond,44.87,-72.73
BEAVER MEADOW BRK-L,Unnamed Pond referred to by DEC as Beaver Meadow Brook - Lower,Enosburgh,Champlain ,18,2148,700,,,,Beaver Meadow Brook - Lower Pond Enosburgh,Pond,44.9,-72.72
BEAVER MEADOW BRK-U,Unnamed Pond referred to by DEC as Beaver Meadow Brook - Lower,Enosburgh,Champlain ,14,222,800,,,,Beaver Meadow Brook - Lower Pond Enosburgh,Pond,43.35,-72.57
BEAVER MEADOWS,Beaver Meadows,Chittenden,West Central,3,380,1925,,,,Beaver Meadows Pond Chittenden,Pond,43.77,-72.9
BECK,Beck Pond,Newark,NE Kingdom,6,294,1570,,,,Beck Pond Newark,Pond,44.7294949,-71.9167619
BEEBE (HUBDTN),Beebe Pond,Hubbardton,West Central,111,1843,618,43,26,NATURAL with ARTIFICIAL CONTROL,Beebe Pond Hubbardton,Lake (Artificial Control),43.7342306,-73.1831677
BEEBE (SUNDLD),Beebe Pond,Sunderland,Green Mtn South,8,161,2350,,,,Beebe Pond Sunderland,Pond,43.0523,-73.0320481
BEECHER,Beecher Pond,Brighton,NE Kingdom,15,597,1227,,,,Beecher Pond Brighton,Pond,44.8117157,-71.849539
BEETLE,Unnamed Pond referred to by DEC as Beetle,Troy,NE Kingdom,,,915,,,,Beetle Pond Troy,Pond,44.92,-72.37
BELDING,Belding Pond,Johnson,North Central,4,86,1190,,,,Belding Pond Johnson,Pond,44.6169953,-72.7098435
BELLEVUE,Unnamed Pond referred to by DEC as Bellevue,Fairfield,Champlain ,,,905,,,,Bellevue Pond Fairfield,Pond,44.77,-73.05
BELVIDERE-NE,Unnamed Pond referred to by DEC as Belvidere - NE,Belvidere,Champlain ,9,426,1150,,,,Belvidere - NE Pond Belvidere,Pond,44.7675485,-72.5965061
BERKSHIRE,Unnamed Pond referred to by DEC as Berkshire,Berkshire,Champlain ,8,1312,520,,,,Berkshire Pond Berkshire,Pond,44.97,-72.78
BERLIN,Berlin Pond,Berlin,North Central,293,6738,976,59,27,NATURAL with ARTIFICIAL CONTROL,Berlin Pond Berlin,Lake (Artificial Control),44.18,-72.58
BIG,Big Pond (Woodford Lake),Woodford,Green Mtn South,31,715,2265,28,13,NATURAL with ARTIFICIAL CONTROL,Big Pond Woodford,Lake (Artificial Control),42.88,-73.07
BIG MUD,Big Mud Pond,Mount Tabor,West Central,15,267,2590,,,NATURAL,Big Mud Pond Mount Tabor,Pond,43.3142404,-72.9314907
BIG MUDDY,Big Muddy Pond,Eden,North Central,17,123,1410,,,NATURAL,Big Muddy Pond Eden,Pond,44.7558819,-72.5995616
BILLINGS,Billings Pond,Searsburg,Green Mtn South,4,2070,2310,,,,Billings Pond Searsburg,Pond,42.896469,-73.0084356
BILLINGS MARSH,Billings Marsh Pond,West Haven,West Central,56,284,100,,,NATURAL,Billings Marsh Pond West Haven,Pond,43.6,-73.38
BLACK (HUBDTN),Black Pond,Hubbardton,West Central,20,127,626,45,16,NATURAL,Black Pond Hubbardton,Pond,43.7031198,-73.2237234
BLACK (PLYMTH),Black Pond,Plymouth,West Central,20,292,1330,7,,ARTIFICIAL,Black Pond Plymouth,Reservoir,43.55,-72.75
BLAIR,Unnamed Pond referred to by DEC as Blair,Hancock,West Central,,,990,,,,Blair Pond Hancock,Pond,43.93,-72.85
BLAKE,Unnamed Pond referred to by DEC as Blake,Windham,Green Mtn South,,,1780,,,,Blake Pond Windham,Pond,43.15,-72.72
BLAKE (SHEFLD),Blake Pond,Sheffield,North Central,7,160,1550,,,,Blake Pond Sheffield,Pond,44.63533,-72.1184329
BLAKE (SUTTON),Blake Pond,Sutton,NE Kingdom,8,102,1650,,,,Blake Pond Sutton,Pond,44.7128284,-72.0723209
BLISS,Bliss Pond,Calais,North Central,46,591,1211,15,7,NATURAL,Bliss Pond Calais,Pond,44.3525574,-72.5006635
BLODGETT,Unnamed Pond referred to by DEC as Blodgett,Bradford,East Central,15,2964,650,,,,Blodgett Pond Bradford,Pond,44.03,-72.1
BLOODSUCKER,Bloodsucker Pond,Springfield,East Central,4,77,910,,,,Bloodsucker Pond Springfield,Pond,43.3370183,-72.4289783
BLUE (CALAIS),Blue Pond,Calais,North Central,6,70,1210,,,,Blue Pond Calais,Pond,44.4117228,-72.4687192
BLUE (HALFAX),Unnamed Pond referred to by DEC as Blue,Halifax,Green Mtn South,,,1270,,,,Blue Pond Halifax,Pond,42.8,-72.77
BLUEBERRY,Blueberry Lake (Warren Lake),Warren,North Central,48,740,1550,16,,ARTIFICIAL,Blueberry Lake Warren,Reservoir,44.08,-72.83
BM1145,Unnamed Pond referred to by DEC as BM1145,Plymouth,West Central,8,87,1090,,,,BM1145 Pond Plymouth,Pond,43.5,-72.72
BM746,Unnamed Pond referred to by DEC as BM746,Brookfield,East Central,9,4370,730,,,,BM746 Pond Brookfield,Pond,44.05,-72.57
BOG (FAIRLE),Bog Pond,Fairlee,East Central,1,16,1070,,,,Bog Pond Fairlee,Pond,43.9536785,-72.1464793
BOLSTER,Bolster Reservoir,Barre Town,North Central,5,242,950,,,,Bolster Reservoir Barre Town,Pond,44.15,-72.53
BOMOSEEN,Lake Bomoseen,Castleton,West Central,2360,23630,411,65,27,NATURAL with ARTIFICIAL CONTROL,Lake Bomoseen Castleton,Lake (Artificial Control),43.6442324,-73.2131665
BOULLEY,Unnamed Pond referred to by DEC as Boulley,Johnson,North Central,,,915,,,,Boulley Pond Johnson,Pond,44.62,-72.7
BOURN,Bourn Pond,Sunderland,Green Mtn South,55,410,2552,27,,NATURAL,Bourn Pond Sunderland,Pond,43.1061882,-73.0020474
BRANCH,Branch Pond,Sunderland,Green Mtn South,34,315,2632,35,9,NATURAL,Branch Pond Sunderland,Pond,43.0809107,-73.0189922
BREESE,Breese Pond,Hubbardton,West Central,22,354,552,,,NATURAL with ARTIFICIAL CONTROL,Breese Pond Hubbardton,Lake (Artificial Control),43.7139529,-73.2156679
BREEZE,Unnamed Pond referred to by DEC as Breeze,Hartland,East Central,,,1200,,,,Breeze Pond Hartland,Pond,43.58,-72.47
BRISTOL-NW,Unnamed Pond referred to by DEC as Bristol - NW,Bristol,Champlain ,9,104,565,,,,Bristol - NW Pond Bristol,Pond,44.17,-73.15
BROCKLEBANK,Unnamed Pond referred to by DEC as Brocklebank,Tunbridge,East Central,7,197,1830,,,,Brocklebank Pond Tunbridge,Pond,43.93,-72.42
BROOKSIDE,Brookside Pond,Orwell,West Central,14,2416,298,,,ARTIFICIAL,Brookside Pond Orwell,Reservoir,43.78,-73.32
BROWN (WSTMOR),Brown Pond,Westmore,NE Kingdom,15,254,1850,,,,Brown Pond Westmore,Pond,44.7308838,-71.9820409
BROWN (WHTHAM),Unnamed Pond referred to by DEC as Brown,Whitingham,Green Mtn South,,,1980,,,,Brown Pond Whitingham,Pond,42.77,-72.87
BROWNINGTON,Brownington Pond,Brownington,NE Kingdom,139,3365,991,33,18,NATURAL,Brownington Pond Brownington,Pond,44.8786588,-72.1476007
BROWNS,Browns Pond,Bakersfield,Champlain ,10,4661,550,,,,Browns Pond Bakersfield,Pond,44.82,-72.78
BRUCE,Bruce Pond,Sheffield,North Central,27,369,1546,13,,NATURAL,Bruce Pond Sheffield,Pond,44.6403295,-72.187046
BRUNSWICK SPRINGS,Brunswick Springs,Brunswick,NE Kingdom,16,140,930,,,,Brunswick Springs Pond Brunswick,Pond,44.73,-71.63
BUCK,Buck Lake,Woodbury,North Central,39,225,1345,33,14,NATURAL,Buck Lake Woodbury,Lake,44.462555,-72.3995513
BUFFALO,Unnamed Pond referred to by DEC as Buffalo,West Fairlee,East Central,,,910,,,,Buffalo Pond West Fairlee,Pond,43.97,-72.22
BUGBEE,Unnamed Pond referred to by DEC as Bugbee,Woodford,Green Mtn South,8,1428,2171,,,,Bugbee Pond Woodford,Pond,42.88,-73.08
BULLHEAD (BENSON),Bullhead Pond,Benson,West Central,7,53,535,,,,Bullhead Pond Benson,Pond,43.7347848,-73.331504
BULLHEAD (MANCHR),Bullhead Pond,Manchester,Green Mtn South,5,29,730,,,,Bullhead Pond Manchester,Pond,43.2089645,-73.0176036
BULLIS,Unnamed Pond referred to by DEC as Bullis,Franklin,Champlain ,11,3678,290,,,,Bullis Pond Franklin,Pond,44.97,-72.97
BULLY,Unnamed Pond referred to by DEC as Bully,Wallingford,West Central,,,2120,,,,Bully Pond Wallingford,Pond,43.42,-72.92
BURBEE,Burbee Pond,Windham,Green Mtn South,50,2479,1610,5,,ARTIFICIAL,Burbee Pond Windham,Reservoir,43.15,-72.73
BURLESON,Burleson Pond,Berkshire,Champlain ,2,23,550,,,,Burleson Pond Berkshire,Pond,44.9739343,-72.796803
BURNELL,Burnell Pond,Brandon,West Central,7,144,502,,,,Burnell Pond Brandon,Pond,43.8339524,-73.0759458
BURNHAM MTN,Unnamed Pond referred to by DEC as Burnham Mtn,Topsham,North Central,8,463,1170,,,,Burnham Mtn Pond Topsham,Pond,44.18,-72.2
BURR (PITTFD),Burr Pond,Pittsford,West Central,20,142,1170,18,,,Burr Pond Pittsford,Pond,43.6936779,-72.965941
BURR (SUDBRY),Burr Pond,Sudbury,West Central,85,1737,514,18,14,NATURAL with ARTIFICIAL CONTROL,Burr Pond Sudbury,Lake (Artificial Control),43.77,-73.18
BUTLER,Butler Pond,Pittsford,West Central,3,99,650,,,,Butler Pond Pittsford,Pond,43.6942326,-73.0803876
BUTTERNUT,Unnamed Pond referred to by DEC as Butternut,Bakersfield,Champlain ,,,780,,,,Butternut Pond Bakerfield,Pond,44.8,-72.77
BUTTON,Unnamed Pond referred to by DEC as Button,Wallingford,West Central,,,1775,,,,Button Pond Wallingford,Pond,43.47,-72.93
C.C.C.,C.C.C. Pond,Sharon,East Central,9,174,1361,,,,C.C.C. Pond Sharon,Pond,43.82,-72.4
CAMBRIDGEPORT,Unnamed Pond referred to by DEC as Cambridgeport,Rockingham,Green Mtn South,6,2086,600,,,,Cambridgeport Pond Rockingham,Pond,43.15,-72.55
CAP HILL,Unnamed Pond referred to by DEC as Cap Hill,Jericho,Champlain ,9,200,1010,,,,Cap Hill Pond Jericho,Pond,44.53,-72.97
CARLTON,Carlton Reservoir,Woodstock,East Central,4,75,1070,,,,Carlton Reservoir Woodstock,Reservoir,43.6,-72.55
CARMI,Lake Carmi,Franklin,Champlain ,1402,7710,435,33,13,NATURAL with ARTIFICIAL CONTROL,Lake Carmi Franklin,Lake (Artificial Control),44.9714333,-72.877911
CASPIAN,Caspian Lake,Greensboro,North Central,789,4510,1400,142,57,NATURAL with ARTIFICIAL CONTROL,Caspian Lake Greensboro,Lake (Artificial Control),44.58,-72.32
CASTLE,Unnamed Pond referred to by DEC as Castle,Somerset,Green Mtn South,,,2018,,,,Castle Pond Somerset,Pond,42.95,-72.97
CEDAR,Cedar Lake (Monkton Pond),Monkton,Champlain ,123,752,492,13,6,NATURAL,Cedar Lake Monkton,Lake,44.2500546,-73.1328998
CENTER,Center Pond,Newark,NE Kingdom,79,3793,1310,72,24,,Center Pond Newark,Pond,44.7144953,-71.9198175
CHAMPAGNE,Lake Champagne,Randolph,East Central,3,243,1310,,,,Lake Champagne Randolph,Lake,43.95,-72.6
CHAMP-BURLINGTON BAY,Burlington Bay - Lake Champlain,Burlington,Champlain ,2532,,95,,,,Champlain Lake - Burlington Bay Burlington,Lake,44.48,-73.27
CHAMP-ISLE LA MOTTE,Isle La Motte - Lake Champlain,Alburgh,Champlain ,26202,,95,,,,Champlain Lake - Isle La Motte Alburgh,Lake,45,-73.32
CHAMP-MAIN LAKE,Main Section - Lake Champlain,South Hero,Champlain ,42010,,95,,,,Champlain Lake - Main Section South Hero,Lake,44.7,-73.37
CHAMP-MALLETTS BAY,Malletts Bay - Lake Champlain,Colchester,Champlain ,13388,,95,,,,Champlain Lake - Malletts Bay Colchester,Lake,44.58,-73.28
CHAMP-MISSISQUOI BAY,Missisquoi Bay - Lake Champlain,Alburgh,Champlain ,7998,,95,,,,Champlain Lake - Missisquoi Bay Alburgh,Lake,45,-73.17
CHAMP-NORTHEAST ARM,Northeast Arm - Lake Champlain,Swanton,Champlain ,58184,,95,,,,Champlain Lake - Northeast Arm Swanton,Lake,44.97,-73.17
CHAMP-OTTER CREEK,Otter Creek Section - Lake Champlain,Ferrisburgh,Champlain ,4423,,95,,,,Champlain Lake - Otter Creek Section Ferrisburgh,Lake,44.27,-73.32
CHAMP-PORT HENRY,Port Henry Section - Lake Champlain,Ferrisburgh,Champlain ,9302,,95,,,,Champlain Lake - Port Henry Section Ferrisburgh,Lake,44.2,-73.37
CHAMP-SHELBURNE BAY,Shelburne Bay - Lake Champlain,Shelburne,Champlain ,2249,,95,,,,Champlain Lake - Shelburne Bay Shelburne,Lake,44.43,-73.23
CHAMP-SOUTH LAKE,Southern Section - Lake Champlain,Bridport,Champlain ,5388,,95,,,,Champlain Lake - Southern Section Bridport,Lake,44.03,-73.42
CHAMP-ST. ALBANS BAY,St. Albans Bay - Lake Champlain,St. Albans Town,Champlain ,2499,,95,,,,Champlain Lake - St. Albans Bay St. Albans Town,Lake,44.77,-73.17
CHANDLER (WTRFRD),Unnamed Pond referred to by DEC as Chandler,Waterford,NE Kingdom,6,1313,845,,,,Chandler Pond Wheelock,Lake (Artificial Control),44.38,-71.95
CHANDLER (WHLOCK),Chandler Pond,Wheelock,North Central,68,1050,1256,6,,NATURAL with ARTIFICIAL CONTROL,Chandler Pond Waterford,Pond,44.53,-72.1
CHAPELS,Chapels Pond,East Montpelier,North Central,2,295,1170,,,,Chapels Pond East Montpelier,Pond,44.3158915,-72.5192746
CHARLES BROWN,Unnamed Pond referred to by DEC as Charles Brown,Norwich,East Central,,,700,,,,Charles Brown Pond Norwich,Pond,43.73,-72.33
CHARLESTON,Charleston Pond (Lubber Lake),Charleston,NE Kingdom,40,67936,1059,30,,ARTIFICIAL,Charleston Pond Charleston,Reservoir,44.8928256,-72.0531538
CHESTER,Chester Reservoir,Chester,East Central,5,399,1070,,,,Chester Reservoir Chester,Reservoir,43.28,-72.63
CHESTNUT,Unnamed Pond referred to by DEC as Chestnut,Springfield,East Central,,,460,,,,Chestnut Pond Springfield,Pond,43.28,-72.45
CHILDS,Childs Pond,Thetford,East Central,10,33,470,,,,Childs Pond Thetford,Pond,43.8189586,-72.1900896
CHIPMAN,Chipman Lake (Tinmouth Pond),Tinmouth,West Central,79,535,1194,11,7,NATURAL,Chipman Lake Tinmouth,Lake,43.408405,-73.0301051
CHITTENDEN,Chittenden Reservoir,Chittenden,West Central,702,10180,1495,46,26,ARTIFICIAL,Chittenden Reservoir Chittenden,Reservoir,43.73,-72.92
CHOATE,Choate Pond,Orwell,West Central,11,76,850,,,,Choate Pond Orwell,Pond,43.7792288,-73.2687258
CLARA,Clara Lake,Whitingham,Green Mtn South,18,412,1690,,,,Clara Lake Whitingham,Lake,42.7959153,-72.8800979
CLEAR,Clear Pond,Hyde Park,North Central,8,40,1190,,,,Clear Pond Hyde Park,Pond,44.6164403,-72.5023333
CLEVELAND,Unnamed Pond referred to by DEC as Cleveland,Coventry,NE Kingdom,,,1170,,,,Cleveland Pond Coventry,Pond,44.88,-72.28
CLOSSON,Closson Pond,Rockingham,Green Mtn South,1,16,1170,,,,Closson Pond Rockingham,Pond,43.23,-72.48
CLYDE,Clyde Pond,Derby,NE Kingdom,186,89292,878,20,11,ARTIFICIAL,Clyde Pond Derby,Reservoir,44.9353246,-72.1712124
COBB,Cobb Pond,Derby,NE Kingdom,27,138,1121,,,,Cobb Pond Derby,Pond,44.9139361,-72.1345448
COBURN,Coburn Pond,Ryegate,North Central,5,64,790,,,,Coburn Pond Ryegate,Pond,44.2517283,-72.086205
COGGMAN,Coggman Pond,West Haven,West Central,20,368,110,12,,NATURAL,Coggman Pond West Haven,Pond,43.6206213,-73.3748356
COITS,Coits Pond,Cabot,North Central,40,325,1334,7,,NATURAL,Coits Pond Cabot,Pond,44.4472777,-72.3295486
COLBY,Colby Pond,Plymouth,West Central,20,314,1572,16,,ARTIFICIAL,Colby Pond Plymouth,Reservoir,43.47,-72.67
COLCHESTER,Colchester Pond,Colchester,Champlain ,186,1259,404,42,,NATURAL with ARTIFICIAL CONTROL,Colchester Pond Colchester,Lake (Artificial Control),44.5550488,-73.1195741
COLE,Cole Pond,Jamaica,Green Mtn South,41,282,1193,13,5,NATURAL,Cole Pond Jamaica,Pond,43.1470213,-72.8056529
COLES,Coles Pond,Walden,North Central,125,744,2194,21,8,NATURAL with ARTIFICIAL CONTROL,Coles Pond Walden,Lake (Artificial Control),44.52,-72.22
COLES-E,Unnamed Pond referred to by DEC as Coles - E,Stannard,North Central,,,2375,,,,Coles - E Pond Stannard,Pond,44.52,-72.2
COLLINS,Collins Pond,Hyde Park,North Central,16,443,1225,20,,NATURAL,Collins Pond Hyde Park,Pond,44.6214402,-72.5042778
COLTON,Colton Pond,Killington,West Central,27,501,1325,10,,ARTIFICIAL,Colton Pond Killington,Reservoir,43.7,-72.82
COMERFORD,Comerford Reservoir,Barnet,NE Kingdom,777,307121,646,,,ARTIFICIAL,Comerford Reservoir Barnet,Reservoir,44.33,-72.02
CONANT,Unnamed Pond referred to by DEC as Conant,Thetford,East Central,,,1070,,,,Conant Pond Thetford,Pond,43.85,-72.23
CONCORD,Unnamed Pond referred to by DEC as Concord,Concord,NE Kingdom,,,990,,,,Concord Pond Concord,Pond,44.45,-71.78
COOK,Cook Pond,Ludlow,Green Mtn South,3,56,1123,,,,Cook Pond Ludlow,Pond,43.4300716,-72.7070412
COOKS (SHRWBY),Cooks Pond,Shrewsbury,West Central,12,184,1753,,,,Cooks Pond Shrewsbury,Pond,43.5117366,-72.8539905
COOKS (WEAFLD),Cooks Pond,Weathersfield,East Central,10,218,1075,,,,Cooks Pond Weathersfield,Pond,43.3767399,-72.4500901
COPENHAGEN,Unnamed Pond referred to by DEC as Copenhagen,Waterford,NE Kingdom,,,710,,,,Copenhagen Pond Waterford,Pond,44.35,-71.95
COREZ,Corez Pond,Lowell,North Central,9,555,1190,,,,Corez Pond Lowell,Pond,44.7600486,-72.5234459
COW HILL,Unnamed Pond referred to by DEC as Cow Hill,Peacham,North Central,8,185,1720,,,,Cow Hill Pond Peacham,Pond,44.38,-72.2
COW MOUNTAIN,Cow Mountain Pond,Granby,NE Kingdom,10,128,2065,,,NATURAL,Cow Mountain Pond Granby,Pond,44.5614442,-71.7017559
COX,Cox Reservoir,Woodstock,East Central,2,329,970,,,,Cox Reservoir Woodstock,Reservoir,43.62,-72.57
CRANBERRY BOG,Cranberry Bog,Weybridge,Champlain ,2,128,990,,,,Cranberry Bog Pond Weybridge,Pond,44.07,-72.28
CRANBERRY MEADOW,Cranberry Meadow Pond,Woodbury,North Central,28,1905,1092,23,,NATURAL,Cranberry Meadow Pond Woodbury,Pond,44.4208892,-72.4573301
CRANBERRY POOL;,Cranberry Pool,Highgate,Champlain ,,,,,,,Cranberry Pool Pond Highgate,Pond,44.95,-73.14
CRESCENT,Crescent Lake,Sharon,East Central,20,955,1162,,,,Crescent Lake Sharon,Lake,43.8,-72.42
CROW HILL,Unnamed Pond referred to by DEC as Crow Hill,St. Johnsbury,NE Kingdom,5,328,930,,,,Crow Hill Pond St. Johnsbury,Pond,44.42,-72.05
CRYSTAL (BARTON),Crystal Lake,Barton,NE Kingdom,763,14453,945,115,71,NATURAL with ARTIFICIAL CONTROL,Crystal Lake Barton,Lake (Artificial Control),44.7467161,-72.1762128
CRYSTAL (HARTLD),Crystal Pond,Hartland,East Central,2,81,1350,,,,Crystal Pond Hartland,Pond,43.5936811,-72.4764817
CRYSTAL (WILMTN),Crystal Pond,Wilmington,Green Mtn South,3,,2930,,,,Crystal Pond Wilmington,Pond,42.92,-72.92
CURTIS,Curtis Pond,Calais,North Central,72,917,1219,31,11,NATURAL with ARTIFICIAL CONTROL,Curtis Pond Calais,Lake (Artificial Control),44.38,-72.5
CUSHING HILL,Unnamed Pond referred to by DEC as Cushing Hill,Underhill,Champlain ,9,371,910,,,,Cushing Hill Pond Underhill,Pond,44.48,-72.9
CUTLER,Cutler Pond,Highgate,Champlain ,25,276,250,3,,NATURAL,Cutler Pond Highgate,Pond,44.9867087,-73.0370725
CUTTER,Cutter Pond,Williamstown,East Central,16,858,912,,,,Cutter Pond Williamstown,Pond,44.0906188,-72.5489933
