Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Shelburne,Shelburne,,7/18/2020,,,0,,,1,
Silver (barnard),Barnard,,7/18/2020,,,2,,,1,
Silver (Leicester),Leicester,,7/18/2020,,,2,2,,1,
Sodom,Calais,,7/18/2020,,,0,,,1,
Somerset,Somerset,,7/18/2020,,,11,,,1,
South (Eden),Eden,,7/18/2020,,,2,1,,1,
South (Marlboro),Marlboro,,7/18/2020,,,2,2,,1,
South America,Ferdinand,,7/18/2020,,,0,,,1,
South Bay,Newport City,,7/18/2020,,,0,,,1,
Spectacle,Brighton,,7/18/2020,,,3,1,,1,8:34 3rd Ad fly toward Isl. Pond
Spring,Shrewsbury,,7/18/2020,,,2,1,,1,
St. Catherine,Wells,,7/18/2020,,,3,0,1,1,
Stannard,Stannard,,7/18/2020,,,0,,,1,added to lake list; need to adjust other years
Stiles,Waterford,,7/18/2020,,,0,,,1,
Sugar Hill Res.,Goshen,,7/18/2020,,,1,,,1,
Sunrise (Benson),Benson,,7/18/2020,,,0,,,1,
Sunset (Benson),Benson,,7/18/2020,,,1,,,1,
Sunset (Marlboro),Marlboro,,7/18/2020,,,1,,,1,
Thurman Dix,Orange,,7/18/2020,,,3,1,,1,
Ticklenaked,Ryegate,,7/18/2020,,,1,,,1,
Turtle,Holland,,7/18/2020,,,1,,,1,
Upper Symes,Ryegate,,7/18/2020,,,0,,,1,
Wallace,Canaan,,7/18/2020,,,3,,,1,
Wallingford,Wallingford,,7/18/2020,,,2,2,,1,
Wantastiquet,Weston,,7/18/2020,,,2,,,1,
Wapanacki,Hardwick,,7/18/2020,,,0,,,1,
Warden,Barnet,,7/18/2020,,,2,,,1,
Waterbury - South end,Waterbury,,7/18/2020,,,5,,,1,"2 obs. South end; 4 obs. North arm, 1 of which flew in from south, 2 flew south and 2 flew north but then rejoined as group of 3A.  1 of these could have been obs. In south end."
West Hill,Cabot,,7/18/2020,,,0,,,1,
West Mountain,Maidstone,,7/18/2020,,,3,,,1,
Wheeler,Brunswick,,7/18/2020,,,0,,,1,
Willoughby,Westmore,,7/18/2020,,,9,,,1,
Wolcott,Wolcott,,7/18/2020,,,3,1,,1,
Woodbury,Woodbury,,7/18/2020,,,2,2,,1,
Woodward,Plymouth,,7/18/2020,,,2,2,,1,
Wrightsville,Worcester,,7/18/2020,,,0,,,1,
Zack Woods,Hyde Park,,7/18/2020,,,2,2,,1,
