locationName,locationTown,locationRegion,locationArea
Hartwell,Albany,nc,16
Harveys,Barnet,nc,351
Hinkum,Sudbury,wc,60
Holland,Holland,nek,325
Hortonia,Hubbarton,wc,479
Howe,Readsboro,gm-s,52
Indian Brook,Essex,cha-n,50
Inman,Fair Haven,wc,85
Iroquois,Hinesburg,cha-n,243
Island,Brighton,nek,626
Jobs,Westmore,nek,39
Joe's,Danville,nc,396
Johnson Pond,Shrewsbury,wc,12
Keiser ,Danville,nc,33
Kent,Killington,wc,99
Kettle,Peacham,nc,109
Knapp Br1,Cavendish,wc,25
Knapp Br2,Cavendish,wc,35
Lamoille,Hyde Park,nc,148
Levi,Groton,nc,22
Lewis,Lewis,nek,68
Lily,Poultney,wc,22
Little (Franklin),Franklin,cha-n,95
Little (Wells),Wells,wc,177
Little Averill,Averill,nek,467
Little Elmore,Elmore,nc,24
Little Hosmer,Craftsbury,nc,180
Little Rock,Wallingford,wc,18
Little Salem,Derby,nek,50
Long (Eden),Eden,nc,97
Long (Greensboro),Greensboro,nc,100
Long (Sheffield),Sheffield,nc,38
Long (Westmore),Westmore,nek,90
Lowell,Londonderry,gm-s,57
Lower (Hinesburg),Hinesburg,cha-n,57
Lower Symes,Ryegate,nc,77
Lyford,Walden,nc,33
Maidstone,Maidstone,nek,745
Mansfield,Stowe,nc,38
Marl,Sutton,nek,10
Marshfield Pond (Turtlehead Pond),Marshfield,nc,69
Martin's,Peacham,nc,82
May,Barton,nek,116
McConnell,Brighton,nek,87
Memphremagog ,Newport,nek,5966
Metcalf,Fletcher,cha-n,81
Miles,Concord,nek,215
Mill,Windsor,ec,77
Miller,Strafford,ec,64
Minards,Rockingham,ec,46
Mitchell,Sharon,ec,28
Mollys,Cabot,nc,38
Mollys Falls,Marshfield,nc,397
Monkton (Cedar),Monkton,cha-n,123
Moore,Waterford,nek,1235
Morey,Fairlee,ec,547
Moses,Weston,gm-s,12
Mud (Hyde Park),Hyde Park,nc,14
Mud (Leicester),Leicester,wc,35
Mud (Morgan),Morgan,nek,35
Mud (Peacham),Peacham,nc,34
Neal,Lunenberg,nek,186
Nelson,Woodbury,nc,133
Newark,Newark,nek,153
Nichols,Woodbury,nc,171
Ninevah,Mt. Holly,wc,171
No. 10 (Mirror),Calais,nc,85
Norford,Thetford,ec,21
North Montpelier,East Montpelier,nc,72
North Springfield,Springfield,ec,290
Norton,Norton,nek,583
Notch,Ferdinand,nek,22
Noyes,Groton,nc,39
Nulhegan,Brighton,nek,37
Old Marsh,Fair Haven,wc,131
Osmore,Groton,nc,48
Page,Albany,nc,16
Paran,Bennington,gm-s,40
Parker,Glover,nc,250
Peacham,Peacham,nc,340
Pensioner,Charleston,nek,173
Perch (Benson),Benson,wc,24
Pigeon,Groton,nc,69
Pinneo,Hartford,ec,50
Pleiad,Hancock,wc,6
Raponda,Wilmington,gm-s,121
Rescue,Ludlow,wc,180
Ricker,Groton,nc,95
Ritterbush,Eden,nc,14
Rood,Williamstown,ec,23
Round (Holland),Holland,nek,14
Round (Newbury),Newbury,nc,30
Round (Sheffield),Sheffield,nc,13
Runnemede,Windsor,ec,62
Sadawga,Whitingham,gm-s,194
Salem,Derby,nek,764
Searsburg,Searsburg,gm-s,25
Seymour,Morgan,nek,1769
Shadow (Concord),Concord,nek,128
Shadow (Glover),Glover,nc,210
Shelburne,Shelburne,cha-n,452
Sherman Reservoir,Whitingham,gm-s,160
Silver (barnard),Barnard,wc,84
Silver (Georgia/Fairfax),Fairfax,cha-n,27
Silver (Leicester),Leicester,wc,101
Sodom,Calais,nc,21
Somerset,Somerset,gm-s,1568
South (Eden),East,nc,103
South (Marlboro),Marlboro,gm-s,68
South America,Ferdinand,nek,29
South Bay,Newport,nek,470
Spectacle,Brighton,nek,103
Spring,Shrewsbury,wc,66
St. Catherine ,Wells,wc,883
Stannard,Stannard,nc,25
Star,Mount Holly,wc,63
Stiles,Waterford,nek,135
Stoughton,Weathersfield,ec,56
Stratton,Stratton,gm-s,46
Sugar Hill Res.,Goshen,wc,63
Sunrise (Benson),Benson,wc,57
Sunset (Benson),Benson,wc,202
Sunset (Marlboro),Marlboro,gm-s,96
Thurman Dix,Orange,nc,123
Ticklenaked,Ryegate,nc,54
Tiny,Plymouth,wc,29
Toad,Charleston,nek,22
Townsend Res.,Townsend,gm-s,108
Turtle,Holland,nek,27
Twin,Brookfield,ec,16
Unknown,Avery's Gore,nek,19
Upper Symes,Ryegate,nc,15
Wallace,Canaan,nek,532
Wallingford,Wallingford,wc,87
Wantastiquet,Weston,gm-s,44
Wapanacki,Hardwick,nc,21
Warden,Barnet,nc,46
Waterbury - South end,Waterbury,nc,839
West Hill,Cabot,nc,46
West Mountain,Maidstone,nek,60
Wheeler,Brunswick,nek,66
Willoughby,Westmore,nek,1653
Wolcott,Wolcott,nc,74
Woodbury,Woodbury,nc,142
Woodward,Plymouth,wc,106
WrightSurveyille,Worcester,nc,190
Zack Woods,Hyde Park,nc,23
