Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Hartwell,Albany,,7/16/2016,,,0,,,1,
Harveys,Barnet,,7/16/2016,,,6,,,1,
Holland,Holland,,7/16/2016,,,4,0,,1,
Hortonia,Hubbardton,,7/16/2016,,,1,0,,1,
Howe,Readsboro,,7/16/2016,,,0,,,1,
Iroquois,Hinesburg,,7/16/2016,,,2,0,,1,
Island,Brighton,,7/16/2016,,,3,,,1,
Jobs,Westmore,Grace M,7/16/2016,,,2,0,,1,"Grace M.- 1A on nest, 1A in water afternoon survey"
Joe's,Danville,,7/16/2016,,,11,1,,1,nest empty - no eggs
Keiser,Danville,,7/16/2016,,,2,0,,1,
Kent,Killington,,7/16/2016,,,3,2,,1,
Kettle,Peacham,,7/16/2016,,,2,0,,1,"1 flew in 8:30, then flew off near 9 a.m."
Knapp Br1,Cavendish,,7/16/2016,,,1,,,1,
Knapp Br2,Cavendish,,7/16/2016,,,0,,,1,
Little (Wells),Wells,,7/16/2016,,,0,,,1,
Little Averill,Averill,,7/16/2016,,,9,0,,1,
Little Hosmer,Craftsbury,,7/16/2016,,,2,1,,1,
Long (Eden),Eden,,7/16/2016,,,2,2,,1,
Long (Greensboro),Greensboro,,7/16/2016,,,0,,,1,
Long (Sheffield),Sheffield,,7/16/2016,,,1,,,1,
Long (Westmore),Westmore,,7/16/2016,,,2,,,1,
Lowell,Londonderry,,7/16/2016,,,2,0,,1,1A flew from pond 8 a.m
Lower Symes,Ryegate,,7/16/2016,,,2,2,,1,
Lyford,Walden,,7/16/2016,,,1,,,1,1 adult flying 7:30 am
Maidstone,Maidstone,,7/9/2016,,,7,2,,1,july 9 survey
Martin's,Peacham,,7/16/2016,,,2,2,,1,
May,Barton,,7/16/2016,,,2,0,,1,missed - vol. ill
Memphremagog,Derby,,7/16/2016,,,10,0,1,1,
Metcalf,Fletcher,,7/16/2016,,,2,0,,1,missed 
Miles,Concord,Karen Lippens|Don C,7/16/2016,,,3,0,,1,"1 Karen Lippens -south, 1 Don C - east, 8+1SA King west and north"
Miller,Strafford,,7/16/2016,,,2,1,,1,
Minards,Rockingham,,7/16/2016,,,0,,,1,
Mollys Falls,Marshfield,,7/16/2016,,,6,1,,1,
Morey,Fairlee,,7/16/2016,,,3,,,1,
Mud (Hyde Park),Hyde Park,,7/16/2016,,,1,0,,1,missed
Mud (Leicester),Leicester,,7/16/2016,,,0,,,1,
Mud (Morgan),Morgan,,7/16/2016,,,0,,,1,
Mud (Peacham),Peacham,,7/16/2016,,,1,,,1,
Neal,Lunenberg,,7/16/2016,,,1,,,1,
Nelson,Woodbury,,7/16/2016,,,1,,,1,
Newark,Newark,,7/16/2016,,,2,,,1,
Nichols,Woodbury,,7/16/2016,,,2,1,,1,
Ninevah,Mt. Holly,,7/16/2016,,,2,2,,1,
No. 10 (Mirror),Calais,,7/16/2016,,,0,,,1,
North Springfield,Springfield,,7/16/2016,,,0,,,1,
Norton,Norton,,7/16/2016,,,9,5,,1,
Notch,Ferdinand,,7/16/2016,,,1,,,1,
Noyes,Groton,,7/16/2016,,,0,,,1,
Nulhegan,Brighton,,7/16/2016,,,0,,,1,
Osmore,Groton,,7/16/2016,,,2,1,,1,
Parker,Glover,,7/16/2016,,,2,,,1,
Peacham,Peacham,,7/16/2016,,,6,1,,1,
Pensioner,Charleston,,7/16/2016,,,1,,,1,
Pigeon,Groton,,7/16/2016,,,2,,,1,
Raponda,Wilmington,,7/16/2016,,,2,1,,1,
Rescue,Ludlow,,7/16/2016,,,0,,,1,1 chick missed
Ricker,Groton,,7/16/2016,,,2,0,,1,missed
Runnemede,Windsor,,7/16/2016,,,0,,,1,
Sadawga,Whitingham,,7/16/2016,,,0,,,1,
Searsburg,Searsburg,,7/16/2016,,,0,,,1,
Seymour,Morgan,,7/16/2016,,,9,1,,1,
Shadow (Concord),Concord,,7/16/2016,,,2,1,,1,
Shadow (Glover),Glover,,7/16/2016,,,0,1,,1,
Shelburne,Shelburne,,7/16/2016,,,1,,,1,missed
Silver (barnard),Barnard,,7/16/2016,,,0,,,1,Charles woods had 11 adults
Silver (Leicester),Leicester,,7/16/2016,,,2,0,,1,
Somerset,Somerset,,7/16/2016,,,8,3,1,1,
South (Eden),Eden,,7/16/2016,,,2,2,,1,
South (Marlboro),Marlboro,,7/16/2016,,,2,1,,1,
South America,Ferdinand,,7/16/2016,,,0,,,1,still incubating
South Bay,Newport City,,7/16/2016,,,2,0,,1,
Spectacle,Brighton,,7/16/2016,,,2,1,,1,
Spring,Shrewsbury,,7/16/2016,,,2,1,,1,
St. Catherine,Wells,,7/16/2016,,,0,,,1,
Stiles,Waterford,Hanson,7/16/2016,,,1,,,1,hanson
Sugar Hill Res.,Goshen,,7/16/2016,,,4,,,1,
Sunset (Marlboro),Marlboro,,7/16/2016,,,1,1,,1,
Thurman Dix,Orange,,7/16/2016,,,3,0,,1,
Ticklenaked,Ryegate,,7/16/2016,,,2,1,,1,incubating; 2 ad flew 8:45
Turtle,Holland,,7/16/2016,,,0,0,,1,
Upper Symes,Ryegate,,7/16/2016,,,0,0,,1,
Wallingford,Wallingford,,7/16/2016,,,1,,,1,
Wantastiquet,Weston,,7/16/2016,,,1,2,,1,
Wapanacki,Hardwick,,7/16/2016,,,1,,,1,
Warden,Barnet,,7/16/2016,,,1,,,1,
Waterbury - South end,Waterbury,,7/16/2016,,,2,,,1,missed
West Mountain,Maidstone,,7/16/2016,,,0,,,1,missed - default
Wheeler,Brunswick,,7/16/2016,,,0,,,1,
Willoughby,Westmore,,7/16/2016,,,9,,,1,
Wolcott,Wolcott,,7/16/2016,,,2,1,,1,flying 8:30 did not see land but not other water nearby so likely landed at some point
Woodbury,Woodbury,,7/16/2016,,,2,1,,1,missed
Woodward,Plymouth,,7/16/2016,,,2,1,,1,
Zack Woods,Hyde Park,,7/16/2016,,,2,1,,1,
