eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,eventRemarks
2011-CASPIAN-1,Area Survey,Observer Time,789,Acre,2011-07-16,,197,United States of America,USA,Greensboro,CASPIAN,44.58,-72.32,WGS94,10,Event,VCE,1 at 11 am Beth
2011-CENTER-1,Area Survey,Observer Time,79,Acre,2011-07-16,,197,United States of America,USA,Newark,CENTER,44.7144953,-71.9198175,WGS94,10,Event,VCE,
2011-CHANDLER (WHLOCK)-1,Area Survey,Observer Time,68,Acre,2011-07-16,,197,United States of America,USA,Wheelock,CHANDLER (WHLOCK),44.53,-72.1,WGS94,10,Event,VCE,
2011-CHITTENDEN-1,Area Survey,Observer Time,702,Acre,2011-07-16,,197,United States of America,USA,Chittenden,CHITTENDEN,43.73,-72.92,WGS94,10,Event,VCE,
2011-TILDYS-1,Area Survey,Observer Time,33,Acre,2011-07-16,,197,United States of America,USA,Glover,TILDYS,44.65,-72.2,WGS94,10,Event,VCE,1 ad 10 am might have flown in from Bruce so not counted.
2011-CLYDE-1,Area Survey,Observer Time,186,Acre,2011-07-16,,197,United States of America,USA,Derby,CLYDE,44.9353246,-72.1712124,WGS94,10,Event,VCE,
2011-COITS-1,Area Survey,Observer Time,40,Acre,2011-07-16,,197,United States of America,USA,Cabot,COITS,44.4472777,-72.3295486,WGS94,10,Event,VCE,
2011-COLCHESTER-1,Area Survey,Observer Time,186,Acre,2011-07-16,,197,United States of America,USA,Colchester,COLCHESTER,44.5550488,-73.1195741,WGS94,10,Event,VCE,
2011-COLES-1,Area Survey,Observer Time,125,Acre,2011-07-16,,197,United States of America,USA,Walden,COLES,44.52,-72.22,WGS94,10,Event,VCE,
2011-COLLINS-1,Area Survey,Observer Time,16,Acre,2011-07-16,,197,United States of America,USA,Hyde Park,COLLINS,44.6214402,-72.5042778,WGS94,10,Event,VCE,1 ad flew in 4 pm
2011-CRYSTAL (BARTON)-1,Area Survey,Observer Time,763,Acre,2011-07-16,,197,United States of America,USA,Barton,CRYSTAL (BARTON),44.7467161,-72.1762128,WGS94,10,Event,VCE,0 Connie Barton
2011-CURTIS-1,Area Survey,Observer Time,72,Acre,2011-07-16,,197,United States of America,USA,Calais,CURTIS,44.38,-72.5,WGS94,10,Event,VCE,Peg Chaffee???? Contact
2011-DANIELS-W-1,Area Survey,Observer Time,20,Acre,2011-07-16,,197,United States of America,USA,Glover,DANIELS-W,44.68,-72.28,WGS94,10,Event,VCE,
2011-DANIELS-1,Area Survey,Observer Time,66,Acre,2011-07-16,,197,United States of America,USA,Glover,DANIELS,44.6767173,-72.2626038,WGS94,10,Event,VCE,
2011-DERBY-1,Area Survey,Observer Time,207,Acre,2011-07-16,,197,United States of America,USA,Derby,DERBY,44.9542134,-72.1162109,WGS94,10,Event,VCE,
2011-VALLEY-1,Area Survey,Observer Time,88,Acre,2011-07-16,,197,United States of America,USA,Woodbury,VALLEY,44.447,-72.441,WGS94,10,Event,VCE,
2011-DUCK (CRAFBY)-1,Area Survey,Observer Time,9,Acre,2011-07-16,,197,United States of America,USA,Craftsbury,DUCK (CRAFBY),44.6733838,-72.3651069,WGS94,10,Event,VCE,
2011-DUNMORE-1,Area Survey,Observer Time,985,Acre,2011-07-16,,197,United States of America,USA,Salisbury,DUNMORE,43.9020068,-73.0753915,WGS94,10,Event,VCE,
2011-EAST LONG-1,Area Survey,Observer Time,188,Acre,2011-07-16,,197,United States of America,USA,Woodbury,EAST LONG,44.45,-72.35,WGS94,10,Event,VCE,
2011-ECHO (CHARTN)-1,Area Survey,Observer Time,550,Acre,2011-07-16,,197,United States of America,USA,Charleston,ECHO (CHARTN),44.8603262,-71.994819,WGS94,10,Event,VCE,lost pair?
2011-ECHO (PLYMTH)-1,Area Survey,Observer Time,104,Acre,2011-07-16,,197,United States of America,USA,Plymouth,ECHO (PLYMTH),43.4734041,-72.6998192,WGS94,10,Event,VCE,
2011-EDEN-1,Area Survey,Observer Time,194,Acre,2011-07-16,,197,United States of America,USA,Eden,EDEN,44.7225493,-72.5017778,WGS94,10,Event,VCE,"3rd loon flying 9:35, 2 ad obs 8:50"
2011-ELMORE-1,Area Survey,Observer Time,219,Acre,2011-07-16,,197,United States of America,USA,Elmore,ELMORE,44.5347752,-72.5253897,WGS94,10,Event,VCE,
2011-EMERALD-1,Area Survey,Observer Time,28,Acre,2011-07-16,,197,United States of America,USA,Dorset,EMERALD,43.2753523,-73.0064924,WGS94,10,Event,VCE,no loons obs by park ranger
2011-EWELL-1,Area Survey,Observer Time,51,Acre,2011-07-16,,197,United States of America,USA,Peacham,EWELL,44.37,-72.17,WGS94,10,Event,VCE,Jim Wilson obs 3 ad time? Roosa's retired? Or 2012
2011-FAIRFIELD-1,Area Survey,Observer Time,446,Acre,2011-07-16,,197,United States of America,USA,Fairfield,FAIRFIELD,44.85,-72.98,WGS94,10,Event,VCE,40748
2011-FAIRLEE-1,Area Survey,Observer Time,457,Acre,2011-07-16,,197,United States of America,USA,Fairlee,FAIRLEE,43.88,-72.23,WGS94,10,Event,VCE,heard another one; not there on return trip
2011-FERN-1,Area Survey,Observer Time,69,Acre,2011-07-16,,197,United States of America,USA,Leicester,FERN,43.8656187,-73.0698352,WGS94,10,Event,VCE,
2011-FLAGG-1,Area Survey,Observer Time,111,Acre,2011-07-16,,197,United States of America,USA,Wheelock,FLAGG,44.5653311,-72.2073241,WGS94,10,Event,VCE,
2011-FOREST (AVERLL)-1,Area Survey,Observer Time,62,Acre,2011-07-16,,197,United States of America,USA,Averill,FOREST (AVERLL),44.9847686,-71.6814803,WGS94,10,Event,VCE,
2011-FOSTERS-1,Area Survey,Observer Time,61,Acre,2011-07-16,,197,United States of America,USA,Peacham,FOSTERS,44.3297812,-72.20982,WGS94,10,Event,VCE,
2011-GALE MEADOWS-1,Area Survey,Observer Time,195,Acre,2011-07-16,,197,United States of America,USA,Londonderry,GALE MEADOWS,43.17,-72.87,WGS94,10,Event,VCE,
2011-GREAT AVERILL-1,Area Survey,Observer Time,828,Acre,2011-07-16,,197,United States of America,USA,Averill,GREAT AVERILL,44.98,-71.7,WGS94,10,Event,VCE,Possibly 2 double counted (tally as 5 not 7); no chick obs.w/ inlet pair
2011-GREAT HOSMER-1,Area Survey,Observer Time,140,Acre,2011-07-16,,197,United States of America,USA,Craftsbury,GREAT HOSMER,44.6947722,-72.3606624,WGS94,10,Event,VCE,
2011-GREEN RIVER-1,Area Survey,Observer Time,554,Acre,2011-07-16,,197,United States of America,USA,Hyde Park,GREEN RIVER,44.629268,-72.515443,WGS94,10,Event,VCE,likely missed 1 chick
2011-GREENWOOD-1,Area Survey,Observer Time,96,Acre,2011-07-16,,197,United States of America,USA,Woodbury,GREENWOOD,44.4586661,-72.4253853,WGS94,10,Event,VCE,
2011-GROTON-1,Area Survey,Observer Time,422,Acre,2011-07-16,,197,United States of America,USA,Groton,GROTON,44.2667271,-72.2662089,WGS94,10,Event,VCE,
2011-GROUT-1,Area Survey,Observer Time,84,Acre,2011-07-16,,197,United States of America,USA,Stratton,GROUT,43.0445226,-72.9456567,WGS94,10,Event,VCE,1 ad 5:50 pm henry; 1 ad 7:15 am vycc
2011-HALLS-1,Area Survey,Observer Time,85,Acre,2011-07-16,,197,United States of America,USA,Newbury,HALLS,44.085898,-72.1231473,WGS94,10,Event,VCE,
2011-HARDWICK-1,Area Survey,Observer Time,145,Acre,2011-07-16,,197,United States of America,USA,Hardwick,HARDWICK,44.52,-72.37,WGS94,10,Event,VCE,
2011-HARDWOOD-1,Area Survey,Observer Time,44,Acre,2011-07-16,,197,United States of America,USA,Elmore,HARDWOOD,44.4678324,-72.4995546,WGS94,10,Event,VCE,
2011-HARRIMAN (WHITHM)-1,Area Survey,Observer Time,2040,Acre,2011-07-16,,197,United States of America,USA,Whitingham,HARRIMAN (WHITHM),42.83,-72.88,WGS94,10,Event,VCE,
2011-HARTWELL-1,Area Survey,Observer Time,16,Acre,2011-07-16,,197,United States of America,USA,Albany,HARTWELL,44.7044943,-72.293716,WGS94,10,Event,VCE,2nd hand report
2011-HARVEYS-1,Area Survey,Observer Time,351,Acre,2011-07-16,,197,United States of America,USA,Barnet,HARVEYS,44.3,-72.13,WGS94,10,Event,VCE,513 shoreline road
2011-HOLLAND-1,Area Survey,Observer Time,325,Acre,2011-07-16,,197,United States of America,USA,Holland,HOLLAND,44.9867132,-71.9281516,WGS94,10,Event,VCE,
2011-HORTONIA-1,Area Survey,Observer Time,479,Acre,2011-07-16,,197,United States of America,USA,Hubbardton,HORTONIA,43.7500632,-73.2078906,WGS94,10,Event,VCE,
2011-INDIAN BROOK (ESSEX)-1,Area Survey,Observer Time,50,Acre,2011-07-16,,197,United States of America,USA,Essex,INDIAN BROOK (ESSEX),44.53,-73.1,WGS94,10,Event,VCE,
2011-INMAN-1,Area Survey,Observer Time,85,Acre,2011-07-16,,197,United States of America,USA,Fair Haven,INMAN,43.65,-73.27,WGS94,10,Event,VCE,
2011-ISLAND-1,Area Survey,Observer Time,626,Acre,2011-07-16,,197,United States of America,USA,Brighton,ISLAND,44.8050491,-71.8706504,WGS94,10,Event,VCE,
2011-JOBS-1,Area Survey,Observer Time,39,Acre,2011-07-16,,197,United States of America,USA,Westmore,JOBS,44.7628276,-71.9537072,WGS94,10,Event,VCE,
2011-JOES (DANVLL)-1,Area Survey,Observer Time,396,Acre,2011-07-16,,197,United States of America,USA,Danville,JOES (DANVLL),44.4083904,-72.1945436,WGS94,10,Event,VCE,
2011-KEISER-1,Area Survey,Observer Time,33,Acre,2011-07-16,,197,United States of America,USA,Danville,KEISER,44.3864467,-72.1706537,WGS94,10,Event,VCE,
2011-KENT-1,Area Survey,Observer Time,99,Acre,2011-07-16,,197,United States of America,USA,Killington,KENT,43.68,-72.8,WGS94,10,Event,VCE,
2011-KETTLE-1,Area Survey,Observer Time,109,Acre,2011-07-16,,197,United States of America,USA,Peacham,KETTLE,44.2947817,-72.3181558,WGS94,10,Event,VCE,
2011-KNAPP BROOK #1-1,Area Survey,Observer Time,25,Acre,2011-07-16,,197,United States of America,USA,Cavendish,KNAPP BROOK #1,43.447016,-72.5662041,WGS94,10,Event,VCE,1 ad flyover
2011-KNAPP BROOK #2-1,Area Survey,Observer Time,35,Acre,2011-07-16,,197,United States of America,USA,Cavendish,KNAPP BROOK #2,43.45,-72.57,WGS94,10,Event,VCE,
2011-LEWIS-1,Area Survey,Observer Time,68,Acre,2011-07-16,,197,United States of America,USA,Lewis,LEWIS,44.8833812,-71.7806495,WGS94,10,Event,VCE,
2011-LITTLE AVERILL-1,Area Survey,Observer Time,467,Acre,2011-07-16,,197,United States of America,USA,Averill,LITTLE AVERILL,44.9556024,-71.7162039,WGS94,10,Event,VCE,
2011-LITTLE ELMORE-1,Area Survey,Observer Time,24,Acre,2011-07-16,,197,United States of America,USA,Elmore,LITTLE ELMORE,44.4978315,-72.5317787,WGS94,10,Event,VCE,
2011-LITTLE HOSMER-1,Area Survey,Observer Time,180,Acre,2011-07-16,,197,United States of America,USA,Craftsbury,LITTLE HOSMER,44.68,-72.38,WGS94,10,Event,VCE,1 ad flew over at 9:30 am
2011-SALEM-1,Area Survey,Observer Time,50,Acre,2011-07-16,,197,United States of America,USA,Derby,SALEM,44.9292138,-72.1037106,WGS94,10,Event,VCE,
2011-LONG (EDEN)-1,Area Survey,Observer Time,97,Acre,2011-07-16,,197,United States of America,USA,Eden,LONG (EDEN),44.77,-72.6,WGS94,10,Event,VCE,
2011-LONG (GRNSBO)-1,Area Survey,Observer Time,100,Acre,2011-07-16,,197,United States of America,USA,Greensboro,LONG (GRNSBO),44.6256073,-72.263437,WGS94,10,Event,VCE,
2011-LONG (SHEFLD)-1,Area Survey,Observer Time,38,Acre,2011-07-16,,197,United States of America,USA,Sheffield,LONG (SHEFLD),44.6767178,-72.1437116,WGS94,10,Event,VCE,1 ad flew over
2011-LONG (WESTMR)-1,Area Survey,Observer Time,90,Acre,2011-07-16,,197,United States of America,USA,Westmore,LONG (WESTMR),44.7506056,-72.0178751,WGS94,10,Event,VCE,
2011-LOWELL-1,Area Survey,Observer Time,57,Acre,2011-07-16,,197,United States of America,USA,Londonderry,LOWELL,43.22,-72.77,WGS94,10,Event,VCE,
2011-LOWER-1,Area Survey,Observer Time,57,Acre,2011-07-16,,197,United States of America,USA,Hinesburg,LOWER,44.35,-73.08,WGS94,10,Event,VCE,
2011-LOWER SYMES-1,Area Survey,Observer Time,77,Acre,2011-07-16,,197,United States of America,USA,Ryegate,LOWER SYMES,44.25,-72.1,WGS94,10,Event,VCE,
2011-LYFORD-1,Area Survey,Observer Time,33,Acre,2011-07-16,,197,United States of America,USA,Walden,LYFORD,44.4456114,-72.2467681,WGS94,10,Event,VCE,
2011-MAIDSTONE-1,Area Survey,Observer Time,745,Acre,2011-07-16,,197,United States of America,USA,Maidstone,MAIDSTONE,44.6486637,-71.6470329,WGS94,10,Event,VCE,
2011-MARL-1,Area Survey,Observer Time,10,Acre,2011-07-16,,197,United States of America,USA,Sutton,MARL,44.7003288,-72.0600983,WGS94,10,Event,VCE,
2011-TURTLEHEAD-1,Area Survey,Observer Time,69,Acre,2011-07-16,,197,United States of America,USA,Marshfield,TURTLEHEAD,44.3258919,-72.330657,WGS94,10,Event,VCE,
2011-MARTINS-1,Area Survey,Observer Time,82,Acre,2011-07-16,,197,United States of America,USA,Peacham,MARTINS,44.3,-72.22,WGS94,10,Event,VCE,1 flew 8:30 ese
2011-MAY-1,Area Survey,Observer Time,116,Acre,2011-07-16,,197,United States of America,USA,Barton,MAY,44.7417164,-72.1228779,WGS94,10,Event,VCE,
2011-MCCONNELL-1,Area Survey,Observer Time,87,Acre,2011-07-16,,197,United States of America,USA,Brighton,MCCONNELL,44.8189378,-71.8039827,WGS94,10,Event,VCE,
2011-MEMPHREMAGOG-1,Area Survey,Observer Time,5966,Acre,2011-07-16,,197,United States of America,USA,Derby,MEMPHREMAGOG,44.9853239,-72.2151023,WGS94,10,Event,VCE,possibly 4 loons;  2 flew east at 8:45
2011-METCALF-1,Area Survey,Observer Time,81,Acre,2011-07-16,,197,United States of America,USA,Fletcher,METCALF,44.7283824,-72.8840236,WGS94,10,Event,VCE,4 ad s and w of islands
2011-MILES-1,Area Survey,Observer Time,215,Acre,2011-07-16,,197,United States of America,USA,Concord,MILES,44.45,-71.82,WGS94,10,Event,VCE,
2011-MILL (WINDSR)-1,Area Survey,Observer Time,77,Acre,2011-07-16,,197,United States of America,USA,Windsor,MILL (WINDSR),43.4711828,-72.3967575,WGS94,10,Event,VCE,
2011-MILLER (STRFRD)-1,Area Survey,Observer Time,64,Acre,2011-07-16,,197,United States of America,USA,Strafford,MILLER (STRFRD),43.9,-72.3,WGS94,10,Event,VCE,
2011-MOLLYS-1,Area Survey,Observer Time,38,Acre,2011-07-16,,197,United States of America,USA,Cabot,MOLLYS,44.3939461,-72.2359332,WGS94,10,Event,VCE,
2011-MOLLYS FALLS-1,Area Survey,Observer Time,397,Acre,2011-07-16,,197,United States of America,USA,Marshfield,MOLLYS FALLS,44.35,-72.28,WGS94,10,Event,VCE,vol documentation
2011-MOORE-1,Area Survey,Observer Time,1235,Acre,2011-07-16,,197,United States of America,USA,Waterford,MOORE,44.33,-71.87,WGS94,10,Event,VCE,
2011-MOREY-1,Area Survey,Observer Time,547,Acre,2011-07-16,,197,United States of America,USA,Fairlee,MOREY,43.9247901,-72.1498123,WGS94,10,Event,VCE,
2011-MUD (HYDEPK)-1,Area Survey,Observer Time,14,Acre,2011-07-16,,197,United States of America,USA,Hyde Park,MUD (HYDEPK),44.605885,-72.5034444,WGS94,10,Event,VCE,
2011-MUD (LEICTR)-1,Area Survey,Observer Time,35,Acre,2011-07-16,,197,United States of America,USA,Leicester,MUD (LEICTR),43.88,-73.08,WGS94,10,Event,VCE,
2011-MUD (PEACHM)-1,Area Survey,Observer Time,34,Acre,2011-07-16,,197,United States of America,USA,Peacham,MUD (PEACHM),44.3072818,-72.2125974,WGS94,10,Event,VCE,
2011-NEAL-1,Area Survey,Observer Time,186,Acre,2011-07-16,,197,United States of America,USA,Lunenburg,NEAL,44.4897795,-71.6920327,WGS94,10,Event,VCE,
2011-NICHOLS-1,Area Survey,Observer Time,171,Acre,2011-07-16,,197,United States of America,USA,Woodbury,NICHOLS,44.45,-72.35,WGS94,10,Event,VCE,
2011-NINEVAH-1,Area Survey,Observer Time,171,Acre,2011-07-16,,197,United States of America,USA,Mt. Holly,NINEVAH,43.47,-72.75,WGS94,10,Event,VCE,
2011-MIRROR-1,Area Survey,Observer Time,85,Acre,2011-07-16,,197,United States of America,USA,Calais,MIRROR,44.4,-72.45,WGS94,10,Event,VCE,chick stashed; killed next day
2011-NORTH MONTPELIER-1,Area Survey,Observer Time,72,Acre,2011-07-16,,197,United States of America,USA,East Montpelier,NORTH MONTPELIER,44.32,-72.45,WGS94,10,Event,VCE,
2011-NORTON-1,Area Survey,Observer Time,583,Acre,2011-07-16,,197,United States of America,USA,Norton,NORTON,44.93,-71.87,WGS94,10,Event,VCE,
2011-NOTCH-1,Area Survey,Observer Time,22,Acre,2011-07-16,,197,United States of America,USA,Ferdinand,NOTCH,44.7406056,-71.7173137,WGS94,10,Event,VCE,
2011-NOYES-1,Area Survey,Observer Time,39,Acre,2011-07-16,,197,United States of America,USA,Groton,NOYES,44.23,-72.32,WGS94,10,Event,VCE,
2011-OSMORE-1,Area Survey,Observer Time,48,Acre,2011-07-16,,197,United States of America,USA,Groton,OSMORE,44.3083926,-72.2781547,WGS94,10,Event,VCE,
2011-PARKER-1,Area Survey,Observer Time,250,Acre,2011-07-16,,197,United States of America,USA,Glover,PARKER,44.7194941,-72.2328808,WGS94,10,Event,VCE,
2011-PEACHAM-1,Area Survey,Observer Time,340,Acre,2011-07-16,,197,United States of America,USA,Peacham,PEACHAM,44.33,-72.27,WGS94,10,Event,VCE,also 2 ad joan hudson
2011-PENSIONER-1,Area Survey,Observer Time,173,Acre,2011-07-16,,197,United States of America,USA,Charleston,PENSIONER,44.8736591,-72.0573206,WGS94,10,Event,VCE,possibly 13 ad
2011-PIGEON-1,Area Survey,Observer Time,69,Acre,2011-07-16,,197,United States of America,USA,Groton,PIGEON,44.245894,-72.3284329,WGS94,10,Event,VCE,check with Jean roberts
2011-RAPONDA-1,Area Survey,Observer Time,121,Acre,2011-07-16,,197,United States of America,USA,Wilmington,RAPONDA,42.8750812,-72.8175965,WGS94,10,Event,VCE,
2011-RESCUE-1,Area Survey,Observer Time,180,Acre,2011-07-16,,197,United States of America,USA,Ludlow,RESCUE,43.45,-72.7,WGS94,10,Event,VCE,
2011-RICKER-1,Area Survey,Observer Time,95,Acre,2011-07-16,,197,United States of America,USA,Groton,RICKER,44.2470054,-72.244541,WGS94,10,Event,VCE,1 ad Friday
2011-SALEM-1,Area Survey,Observer Time,764,Acre,2011-07-16,,197,United States of America,USA,Derby,SALEM,44.9292138,-72.1037106,WGS94,10,Event,VCE,
2011-SEARSBURG-1,Area Survey,Observer Time,25,Acre,2011-07-16,,197,United States of America,USA,Searsburg,SEARSBURG,42.92,-72.93,WGS94,10,Event,VCE,
2011-SEYMOUR-1,Area Survey,Observer Time,1769,Acre,2011-07-16,,197,United States of America,USA,Morgan,SEYMOUR,44.8969923,-71.9817632,WGS94,10,Event,VCE,
2011-SHADOW (CONCRD)-1,Area Survey,Observer Time,128,Acre,2011-07-16,,197,United States of America,USA,Concord,SHADOW (CONCRD),44.4003367,-71.8734249,WGS94,10,Event,VCE,Coordinate with Charles Woods 
2011-SHADOW (GLOVER)-1,Area Survey,Observer Time,210,Acre,2011-07-16,,197,United States of America,USA,Glover,SHADOW (GLOVER),44.668103,-72.226571,WGS94,10,Event,VCE,
2011-SILVER (BARNRD)-1,Area Survey,Observer Time,84,Acre,2011-07-16,,197,United States of America,USA,Barnard,SILVER (BARNRD),43.7297902,-72.6106541,WGS94,10,Event,VCE,
2011-SILVER (LEICTR)-1,Area Survey,Observer Time,101,Acre,2011-07-16,,197,United States of America,USA,Leicester,SILVER (LEICTR),43.88,-73.05,WGS94,10,Event,VCE,
2011-SODOM-1,Area Survey,Observer Time,21,Acre,2011-07-16,,197,United States of America,USA,Calais,SODOM,44.3256137,-72.4998296,WGS94,10,Event,VCE,
2011-SOMERSET-1,Area Survey,Observer Time,1568,Acre,2011-07-16,,197,United States of America,USA,Somerset,SOMERSET,43.009708,-72.952621,WGS94,10,Event,VCE,
2011-SOUTH (EDEN)-1,Area Survey,Observer Time,103,Acre,2011-07-16,,197,United States of America,USA,Eden,SOUTH (EDEN),44.68,-72.53,WGS94,10,Event,VCE,
2011-SOUTH BAY-1,Area Survey,Observer Time,470,Acre,2011-07-16,,197,United States of America,USA,Newport City,SOUTH BAY,44.93,-72.2,WGS94,10,Event,VCE,
2011-SPECTACLE-1,Area Survey,Observer Time,103,Acre,2011-07-16,,197,United States of America,USA,Brighton,SPECTACLE,44.8006048,-71.8503722,WGS94,10,Event,VCE,
2011-SPRING (SHRWBY)-1,Area Survey,Observer Time,66,Acre,2011-07-16,,197,United States of America,USA,Shrewsbury,SPRING (SHRWBY),43.4959033,-72.918992,WGS94,10,Event,VCE,
2011-ST. CATHERINE-1,Area Survey,Observer Time,883,Acre,2011-07-16,,197,United States of America,USA,Wells,ST. CATHERINE,43.47,-73.22,WGS94,10,Event,VCE,
2011-SUGAR HILL-1,Area Survey,Observer Time,63,Acre,2011-07-16,,197,United States of America,USA,Goshen,SUGAR HILL,43.92,-73,WGS94,10,Event,VCE,
2011-SUNSET (MARLBR)-1,Area Survey,Observer Time,96,Acre,2011-07-16,,197,United States of America,USA,Marlboro,SUNSET (MARLBR),42.92,-72.68,WGS94,10,Event,VCE,
2011-THURMAN W. DIX-1,Area Survey,Observer Time,123,Acre,2011-07-16,,197,United States of America,USA,Orange,THURMAN W. DIX,44.18,-72.42,WGS94,10,Event,VCE,
2011-TICKLENAKED-1,Area Survey,Observer Time,54,Acre,2011-07-16,,197,United States of America,USA,Ryegate,TICKLENAKED,44.1892294,-72.0987041,WGS94,10,Event,VCE,possibly 3 ad only
2011-TOAD (CHARTN)-1,Area Survey,Observer Time,22,Acre,2011-07-16,,197,United States of America,USA,Charleston,TOAD (CHARTN),44.8489373,-72.0475981,WGS94,10,Event,VCE,
2011-TURTLE-1,Area Survey,Observer Time,27,Acre,2011-07-16,,197,United States of America,USA,Holland,TURTLE,44.9933797,-71.9198182,WGS94,10,Event,VCE,
2011-WALLACE-1,Area Survey,Observer Time,532,Acre,2011-07-16,,197,United States of America,USA,Canaan,WALLACE,45.0119905,-71.6256445,WGS94,10,Event,VCE,
2011-WALLINGFORD-1,Area Survey,Observer Time,87,Acre,2011-07-16,,197,United States of America,USA,Wallingford,WALLINGFORD,43.4145161,-72.9095466,WGS94,10,Event,VCE,
2011-TUTTLE (HARDWK)-1,Area Survey,Observer Time,21,Acre,2011-07-16,,197,United States of America,USA,Hardwick,TUTTLE (HARDWK),44.5581086,-72.310105,WGS94,10,Event,VCE,
2011-WARDEN-1,Area Survey,Observer Time,46,Acre,2011-07-16,,197,United States of America,USA,Barnet,WARDEN,44.3300597,-72.0781505,WGS94,10,Event,VCE,
2011-WATERBURY-1,Area Survey,Observer Time,839,Acre,2011-07-16,,197,United States of America,USA,Waterbury,WATERBURY,44.38,-72.77,WGS94,10,Event,VCE,
2011-WEST MOUNTAIN-1,Area Survey,Observer Time,60,Acre,2011-07-16,,197,United States of America,USA,Maidstone,WEST MOUNTAIN,44.6892181,-71.6620338,WGS94,10,Event,VCE,
2011-WHEELER (BRUNWK)-1,Area Survey,Observer Time,66,Acre,2011-07-16,,197,United States of America,USA,Brunswick,WHEELER (BRUNWK),44.708384,-71.6395333,WGS94,10,Event,VCE,
